./input/Dataset_preproc/15_sort_num_s_4_p_t10.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,956,3590,-1,-1,-1,0.017084576888009906,-1,-1,-1
./input/Dataset_preproc/15_sort_num_s_4_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,204,718,-1,-1,-1,0.006298971828073263,-1,-1,-1
17,189,0,204,666,-1,-1,-1,95.83233138686046,-1,-1,20420.355576996564
./input/Dataset_preproc/15_sort_num_s_4_p_t3.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,298,1077,-1,-1,-1,0.007631134940311313,-1,-1,-1
25,229,0,298,979,-1,-1,-1,303.7190190269612,-1,-1,205899.31498436176
./input/Dataset_preproc/15_sort_num_s_4_p_t4.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,392,1436,-1,-1,-1,0.009000502061098814,-1,-1,-1
32,42,0,392,1355,-1,-1,-1,2010.114942086162,-1,-1,-1.8234590895592397e+48
./input/Dataset_preproc/15_sort_num_s_4_p_t5.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,486,1795,-1,-1,-1,0.013312632916495204,-1,-1,-1
40,481,0,486,1653,-1,-1,-1,2548.486324284924,-1,-1,-5.153678018137773e+50
./input/Dataset_preproc/15_sort_num_s_4_p_t6.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,580,2154,-1,-1,-1,0.012491522124037147,-1,-1,-1
./input/Dataset_preproc/15_sort_num_s_4_p_t7.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,674,2513,-1,-1,-1,0.021246276097372174,-1,-1,-1
./input/Dataset_preproc/15_sort_num_s_4_p_t8.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,768,2872,-1,-1,-1,0.016823212150484324,-1,-1,-1
./input/Dataset_preproc/15_sort_num_s_4_p_t9.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,862,3231,-1,-1,-1,0.018668700009584427,-1,-1,-1
./input/Dataset_preproc/15_sort_num_s_5_p_t10.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,2175,8750,-1,-1,-1,0.043482174165546894,-1,-1,-1
./input/Dataset_preproc/15_sort_num_s_5_p_t1.cnf
